datetime,elec_value
2021-03-28 20:00:00,348.221
2021-03-28 21:00:00,358.307
2021-03-28 22:00:00,357.828
2021-03-28 23:00:00,362.183
2021-03-29 00:00:00,366.209
2021-03-29 01:00:00,371.455
2021-03-29 02:00:00,368.21
2021-03-29 03:00:00,376.555
2021-03-29 04:00:00,360.273
2021-03-29 05:00:00,359.411
2021-03-29 06:00:00,341.705
2021-03-29 07:00:00,316.932
2021-03-29 08:00:00,305.62
2021-03-29 09:00:00,305.695
2021-03-29 10:00:00,304.576
2021-03-29 11:00:00,317.268
2021-03-29 12:00:00,302.928
2021-03-29 13:00:00,328.694
2021-03-29 14:00:00,333.286
2021-03-29 15:00:00,339.878
2021-03-29 16:00:00,349.798
2021-03-29 17:00:00,356.822
2021-03-29 18:00:00,343.086
2021-03-29 19:00:00,330.75
2021-03-29 20:00:00,348.221
2021-03-29 21:00:00,358.307
2021-03-29 22:00:00,357.828
2021-03-29 23:00:00,362.183
2021-03-30 00:00:00,366.981
2021-03-30 01:00:00,368.752
2021-03-30 02:00:00,378.771
2021-03-30 03:00:00,376.273
2021-03-30 04:00:00,374.94
2021-03-30 05:00:00,377.582
2021-03-30 06:00:00,371.84
2021-03-30 07:00:00,334.065
2021-03-30 08:00:00,331.075
2021-03-30 09:00:00,349.367
2021-03-30 10:00:00,353.94
2021-03-30 11:00:00,349.639
2021-03-30 12:00:00,350.433
2021-03-30 13:00:00,357.353
2021-03-30 14:00:00,369.813
2021-03-30 15:00:00,356.137
2021-03-30 16:00:00,381.303
2021-03-30 17:00:00,384.433
2021-03-30 18:00:00,385.738
2021-03-30 19:00:00,381.267
2021-03-30 20:00:00,396.899
2021-03-30 21:00:00,392.19
2021-03-30 22:00:00,387.57
2021-03-30 23:00:00,369.892
2021-03-31 00:00:00,364.431
2021-03-31 01:00:00,356.873
2021-03-31 02:00:00,363.989
2021-03-31 03:00:00,363.737
2021-03-31 04:00:00,359.529
2021-03-31 05:00:00,354.568
2021-03-31 06:00:00,350.597
2021-03-31 07:00:00,343.171
2021-03-31 08:00:00,341.95
2021-03-31 09:00:00,348.706
2021-03-31 10:00:00,343.301
2021-03-31 11:00:00,358.282
2021-03-31 12:00:00,341.477
2021-03-31 13:00:00,356.986
2021-03-31 14:00:00,358.384
2021-03-31 15:00:00,362.285
2021-03-31 16:00:00,372.81
2021-03-31 17:00:00,379.206
2021-03-31 18:00:00,374.085
2021-03-31 19:00:00,381.166
2021-03-31 20:00:00,384.665
2021-03-31 21:00:00,390.777
2021-03-31 22:00:00,374.875
2021-03-31 23:00:00,371.822
2021-04-01 00:00:00,352.625
2021-04-01 01:00:00,359.45
2021-04-01 02:00:00,354.407
2021-04-01 03:00:00,358.314
2021-04-01 04:00:00,349.921
2021-04-01 05:00:00,357.724
2021-04-01 06:00:00,346.072
2021-04-01 07:00:00,330.696
2021-04-01 08:00:00,342.837
2021-04-01 09:00:00,337.974
2021-04-01 10:00:00,340.701
2021-04-01 11:00:00,355.153
2021-04-01 12:00:00,342.541
2021-04-01 13:00:00,350.044
2021-04-01 14:00:00,359.863
2021-04-01 15:00:00,358.797
2021-04-01 16:00:00,377.732
2021-04-01 17:00:00,391.413
2021-04-01 18:00:00,386.763
2021-04-01 19:00:00,380.061
2021-04-01 20:00:00,390.2
2021-04-01 21:00:00,385.937
2021-04-01 22:00:00,380.95
2021-04-01 23:00:00,371.537
2021-04-02 00:00:00,401.204
2021-04-02 01:00:00,372.014
2021-04-02 02:00:00,378.447
2021-04-02 03:00:00,376.782
2021-04-02 04:00:00,372.383
2021-04-02 05:00:00,360.032
2021-04-02 06:00:00,358.386
2021-04-02 07:00:00,335.691
2021-04-02 08:00:00,328.045
2021-04-02 09:00:00,330.838
2021-04-02 10:00:00,343.474
2021-04-02 11:00:00,343.085
2021-04-02 12:00:00,331.968
2021-04-02 13:00:00,330.672
2021-04-02 14:00:00,353.321
2021-04-02 15:00:00,355.447
2021-04-02 16:00:00,377.673
2021-04-02 17:00:00,401.212
2021-04-02 18:00:00,394.394
2021-04-02 19:00:00,379.147
2021-04-02 20:00:00,385.939
2021-04-02 21:00:00,382.033
2021-04-02 22:00:00,379.608
2021-04-02 23:00:00,369.633
2021-04-03 00:00:00,363.912
2021-04-03 01:00:00,357.645
2021-04-03 02:00:00,359.82
2021-04-03 03:00:00,369.462
2021-04-03 04:00:00,362.284
2021-04-03 05:00:00,375.087
2021-04-03 06:00:00,361.447
2021-04-03 07:00:00,342.918
2021-04-03 08:00:00,329.734
2021-04-03 09:00:00,333.978
2021-04-03 10:00:00,333.924
2021-04-03 11:00:00,344.899
2021-04-03 12:00:00,337.225
2021-04-03 13:00:00,351.849
2021-04-03 14:00:00,353.71
2021-04-03 15:00:00,344.525
2021-04-03 16:00:00,366.277
2021-04-03 17:00:00,374.679
2021-04-03 18:00:00,367.376
2021-04-03 19:00:00,355.139
2021-04-03 20:00:00,376.037
2021-04-03 21:00:00,375.155
2021-04-03 22:00:00,369.1
2021-04-03 23:00:00,357.062
2021-04-04 00:00:00,352.479
2021-04-04 01:00:00,345.49
2021-04-04 02:00:00,351.868
2021-04-04 03:00:00,346.553
2021-04-04 04:00:00,348.32
2021-04-04 05:00:00,342.401
2021-04-04 06:00:00,340.486
2021-04-04 07:00:00,312.759
2021-04-04 08:00:00,296.166
2021-04-04 09:00:00,303.028
2021-04-04 10:00:00,310.08
2021-04-04 11:00:00,304.081
2021-04-04 12:00:00,303.396
2021-04-04 13:00:00,310.44
2021-04-04 14:00:00,316.286
2021-04-04 15:00:00,329.117
